datetime,timestamp_desc,source,source_long,message,parser,display_name,tag
2009-11-20T17:38:09.000000+00:00,Content Modification Time,FILE,File stat,TSK:/$BadClus Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$BadClus,-
2009-11-20T17:38:09.000000+00:00,Creation Time,FILE,File stat,TSK:/$BadClus Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$BadClus,-
2009-11-20T17:38:09.000000+00:00,Last Access Time,FILE,File stat,TSK:/$BadClus Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$BadClus,-
2009-11-20T17:38:09.000000+00:00,Metadata Modification Time,FILE,File stat,TSK:/$BadClus Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$BadClus,-
2009-11-20T17:38:09.000000+00:00,Content Modification Time,FILE,File stat,TSK:/$Bitmap Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$Bitmap,-
2009-11-20T17:38:09.000000+00:00,Creation Time,FILE,File stat,TSK:/$Bitmap Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$Bitmap,-
2009-11-20T17:38:09.000000+00:00,Last Access Time,FILE,File stat,TSK:/$Bitmap Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$Bitmap,-
2009-11-20T17:38:09.000000+00:00,Metadata Modification Time,FILE,File stat,TSK:/$Bitmap Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$Bitmap,-
2009-11-20T17:38:09.000000+00:00,Content Modification Time,FILE,File stat,TSK:/$UpCase Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$UpCase,-
2009-11-20T17:38:09.000000+00:00,Creation Time,FILE,File stat,TSK:/$UpCase Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$UpCase,-
2009-11-20T17:38:09.000000+00:00,Last Access Time,FILE,File stat,TSK:/$UpCase Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$UpCase,-
2009-11-20T17:38:09.000000+00:00,Metadata Modification Time,FILE,File stat,TSK:/$UpCase Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$UpCase,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 7-7 Attribute name: $FILE_NAME Name: $Boot Parent file reference: 5-5 Path hints: \$Boot,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFT File reference: 7-7 Attribute name: $FILE_NAME Name: $Boot Parent file reference: 5-5 Path hints: \$Boot,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFT File reference: 7-7 Attribute name: $FILE_NAME Name: $Boot Parent file reference: 5-5 Path hints: \$Boot,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 7-7 Attribute name: $FILE_NAME Name: $Boot Parent file reference: 5-5 Path hints: \$Boot,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 0-1 Attribute name: $FILE_NAME Name: $MFT Parent file reference: 5-5 Path hints: \$MFT,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 0-1 Attribute name: $FILE_NAME Name: $MFT Parent file reference: 5-5 Path hints: \$MFT,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 0-1 Attribute name: $FILE_NAME Name: $MFT Parent file reference: 5-5 Path hints: \$MFT,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 0-1 Attribute name: $FILE_NAME Name: $MFT Parent file reference: 5-5 Path hints: \$MFT,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 0-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFT,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 0-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFT,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 0-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFT,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 0-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFT,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 2-2 Attribute name: $FILE_NAME Name: $LogFile Parent file reference: 5-5 Path hints: \$LogFile,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 2-2 Attribute name: $FILE_NAME Name: $LogFile Parent file reference: 5-5 Path hints: \$LogFile,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 2-2 Attribute name: $FILE_NAME Name: $LogFile Parent file reference: 5-5 Path hints: \$LogFile,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 2-2 Attribute name: $FILE_NAME Name: $LogFile Parent file reference: 5-5 Path hints: \$LogFile,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 2-2 Attribute name: $STANDARD_INFORMATION Path hints: \$LogFile,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 2-2 Attribute name: $STANDARD_INFORMATION Path hints: \$LogFile,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 2-2 Attribute name: $STANDARD_INFORMATION Path hints: \$LogFile,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 2-2 Attribute name: $STANDARD_INFORMATION Path hints: \$LogFile,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.000000+00:00,Content Modification Time,FILE,File stat,TSK:/$Boot Type: file Owner identifier: 48 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$Boot,-
2009-11-20T17:38:09.000000+00:00,Creation Time,FILE,File stat,TSK:/$Boot Type: file Owner identifier: 48 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$Boot,-
2009-11-20T17:38:09.000000+00:00,Last Access Time,FILE,File stat,TSK:/$Boot Type: file Owner identifier: 48 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$Boot,-
2009-11-20T17:38:09.000000+00:00,Metadata Modification Time,FILE,File stat,TSK:/$Boot Type: file Owner identifier: 48 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$Boot,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 9-9 Attribute name: $STANDARD_INFORMATION Path hints: \$Secure:$SDS,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFT File reference: 9-9 Attribute name: $STANDARD_INFORMATION Path hints: \$Secure:$SDS,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFT File reference: 9-9 Attribute name: $STANDARD_INFORMATION Path hints: \$Secure:$SDS,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 9-9 Attribute name: $STANDARD_INFORMATION Path hints: \$Secure:$SDS,mft,TSK:/$MFT,-
2009-11-20T17:38:09.000000+00:00,Content Modification Time,FILE,File stat,TSK:/$MFT Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$MFT,-
2009-11-20T17:38:09.000000+00:00,Creation Time,FILE,File stat,TSK:/$MFT Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$MFT,-
2009-11-20T17:38:09.000000+00:00,Last Access Time,FILE,File stat,TSK:/$MFT Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$MFT,-
2009-11-20T17:38:09.000000+00:00,Metadata Modification Time,FILE,File stat,TSK:/$MFT Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 10-10 Attribute name: $STANDARD_INFORMATION Path hints: \$UpCase,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFT File reference: 10-10 Attribute name: $STANDARD_INFORMATION Path hints: \$UpCase,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFT File reference: 10-10 Attribute name: $STANDARD_INFORMATION Path hints: \$UpCase,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 10-10 Attribute name: $STANDARD_INFORMATION Path hints: \$UpCase,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 11-11 Attribute name: $STANDARD_INFORMATION Path hints: \$Extend,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFT File reference: 11-11 Attribute name: $STANDARD_INFORMATION Path hints: \$Extend,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFT File reference: 11-11 Attribute name: $STANDARD_INFORMATION Path hints: \$Extend,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 11-11 Attribute name: $STANDARD_INFORMATION Path hints: \$Extend,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 4-4 Attribute name: $FILE_NAME Name: $AttrDef Parent file reference: 5-5 Path hints: \$AttrDef,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFT File reference: 4-4 Attribute name: $FILE_NAME Name: $AttrDef Parent file reference: 5-5 Path hints: \$AttrDef,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFT File reference: 4-4 Attribute name: $FILE_NAME Name: $AttrDef Parent file reference: 5-5 Path hints: \$AttrDef,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 4-4 Attribute name: $FILE_NAME Name: $AttrDef Parent file reference: 5-5 Path hints: \$AttrDef,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 8-8 Attribute name: $STANDARD_INFORMATION Path hints: \$BadClus;\$BadClus:$Bad,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFT File reference: 8-8 Attribute name: $STANDARD_INFORMATION Path hints: \$BadClus;\$BadClus:$Bad,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFT File reference: 8-8 Attribute name: $STANDARD_INFORMATION Path hints: \$BadClus;\$BadClus:$Bad,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 8-8 Attribute name: $STANDARD_INFORMATION Path hints: \$BadClus;\$BadClus:$Bad,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 1-1 Attribute name: $FILE_NAME Name: $MFTMirr Parent file reference: 5-5 Path hints: \$MFTMirr,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 1-1 Attribute name: $FILE_NAME Name: $MFTMirr Parent file reference: 5-5 Path hints: \$MFTMirr,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 1-1 Attribute name: $FILE_NAME Name: $MFTMirr Parent file reference: 5-5 Path hints: \$MFTMirr,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 1-1 Attribute name: $FILE_NAME Name: $MFTMirr Parent file reference: 5-5 Path hints: \$MFTMirr,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 1-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFTMirr,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 1-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFTMirr,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 1-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFTMirr,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 1-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFTMirr,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.000000+00:00,Content Modification Time,FILE,File stat,TSK:/$Extend Type: directory Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$Extend,-
2009-11-20T17:38:09.000000+00:00,Creation Time,FILE,File stat,TSK:/$Extend Type: directory Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$Extend,-
2009-11-20T17:38:09.000000+00:00,Last Access Time,FILE,File stat,TSK:/$Extend Type: directory Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$Extend,-
2009-11-20T17:38:09.000000+00:00,Metadata Modification Time,FILE,File stat,TSK:/$Extend Type: directory Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$Extend,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 14-14 Attribute name: $STANDARD_INFORMATION,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFT File reference: 14-14 Attribute name: $STANDARD_INFORMATION,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFT File reference: 14-14 Attribute name: $STANDARD_INFORMATION,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 14-14 Attribute name: $STANDARD_INFORMATION,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 7-7 Attribute name: $STANDARD_INFORMATION Path hints: \$Boot,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFT File reference: 7-7 Attribute name: $STANDARD_INFORMATION Path hints: \$Boot,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFT File reference: 7-7 Attribute name: $STANDARD_INFORMATION Path hints: \$Boot,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 7-7 Attribute name: $STANDARD_INFORMATION Path hints: \$Boot,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 3-3 Attribute name: $FILE_NAME Name: $Volume Parent file reference: 5-5 Path hints: \$Volume,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 3-3 Attribute name: $FILE_NAME Name: $Volume Parent file reference: 5-5 Path hints: \$Volume,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 3-3 Attribute name: $FILE_NAME Name: $Volume Parent file reference: 5-5 Path hints: \$Volume,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 3-3 Attribute name: $FILE_NAME Name: $Volume Parent file reference: 5-5 Path hints: \$Volume,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 3-3 Attribute name: $STANDARD_INFORMATION Path hints: \$Volume,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 3-3 Attribute name: $STANDARD_INFORMATION Path hints: \$Volume,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 3-3 Attribute name: $STANDARD_INFORMATION Path hints: \$Volume,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFTMirr File reference: 3-3 Attribute name: $STANDARD_INFORMATION Path hints: \$Volume,mft,TSK:/$MFTMirr,-
2009-11-20T17:38:09.000000+00:00,Content Modification Time,FILE,File stat,TSK:/$LogFile Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$LogFile,-
2009-11-20T17:38:09.000000+00:00,Creation Time,FILE,File stat,TSK:/$LogFile Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$LogFile,-
2009-11-20T17:38:09.000000+00:00,Last Access Time,FILE,File stat,TSK:/$LogFile Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$LogFile,-
2009-11-20T17:38:09.000000+00:00,Metadata Modification Time,FILE,File stat,TSK:/$LogFile Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o555 Number of links: 1,filestat,TSK:/$LogFile,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 0-1 Attribute name: $FILE_NAME Name: $MFT Parent file reference: 5-5 Path hints: \$MFT,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFT File reference: 0-1 Attribute name: $FILE_NAME Name: $MFT Parent file reference: 5-5 Path hints: \$MFT,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFT File reference: 0-1 Attribute name: $FILE_NAME Name: $MFT Parent file reference: 5-5 Path hints: \$MFT,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 0-1 Attribute name: $FILE_NAME Name: $MFT Parent file reference: 5-5 Path hints: \$MFT,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 0-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFT,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFT File reference: 0-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFT,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFT File reference: 0-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFT,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 0-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFT,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 1-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFTMirr,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFT File reference: 1-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFTMirr,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFT File reference: 1-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFTMirr,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 1-1 Attribute name: $STANDARD_INFORMATION Path hints: \$MFTMirr,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Content Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 15-15 Attribute name: $STANDARD_INFORMATION,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Creation Time,FILE,NTFS file stat,TSK:/$MFT File reference: 15-15 Attribute name: $STANDARD_INFORMATION,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Last Access Time,FILE,NTFS file stat,TSK:/$MFT File reference: 15-15 Attribute name: $STANDARD_INFORMATION,mft,TSK:/$MFT,-
2009-11-20T17:38:09.288487+00:00,Metadata Modification Time,FILE,NTFS file stat,TSK:/$MFT File reference: 15-15 Attribute name: $STANDARD_INFORMATION,mft,TSK:/$MFT,-
